time,open,high,low,close,volume
1780280400000,73464.29000000,73545.25000000,73464.29000000,73493.00000000,18.18472000
1780280700000,73493.00000000,73530.45000000,73492.00000000,73523.99000000,14.25079000
1780281000000,73524.00000000,73524.68000000,73468.86000000,73498.34000000,8.35566000
1780281300000,73498.34000000,73572.27000000,73482.14000000,73572.27000000,16.44101000
1780281600000,73572.27000000,73892.52000000,73554.00000000,73782.01000000,85.98317000
1780281900000,73782.00000000,73858.85000000,73746.00000000,73802.00000000,23.20544000
1780282200000,73802.01000000,73846.39000000,73772.00000000,73794.00000000,37.43960000
1780282500000,73794.00000000,73809.80000000,73758.00000000,73790.00000000,46.97494000
1780282800000,73789.99000000,74019.58000000,73788.01000000,73971.30000000,117.83509000
1780283100000,73971.31000000,73984.00000000,73912.68000000,73973.48000000,23.81808000
1780283400000,73973.48000000,73973.48000000,73875.99000000,73882.01000000,24.02496000
1780283700000,73882.00000000,73947.12000000,73800.00000000,73918.09000000,45.97270000
1780284000000,73918.09000000,73974.00000000,73906.33000000,73949.89000000,35.33155000
1780284300000,73949.90000000,73949.90000000,73887.21000000,73921.77000000,25.52751000
1780284600000,73921.78000000,73979.23000000,73921.77000000,73944.29000000,26.24571000
1780284900000,73944.29000000,73969.72000000,73892.00000000,73892.00000000,20.94761000
1780285200000,73892.01000000,73904.89000000,73800.00000000,73849.99000000,32.44093000
1780285500000,73850.00000000,73909.05000000,73848.69000000,73890.45000000,15.26915000
1780285800000,73890.44000000,73900.00000000,73752.80000000,73752.81000000,70.16944000
1780286100000,73752.80000000,73773.72000000,73735.47000000,73769.06000000,22.85970000
1780286400000,73769.06000000,73841.37000000,73762.32000000,73785.43000000,58.17749000
1780286700000,73785.44000000,73785.44000000,73663.07000000,73676.60000000,22.68184000
1780287000000,73676.61000000,73676.61000000,73584.93000000,73604.91000000,23.96922000
1780287300000,73604.91000000,73619.48000000,73505.37000000,73513.11000000,28.38977000
1780287600000,73513.11000000,73513.11000000,73407.86000000,73434.87000000,35.15469000
1780287900000,73434.88000000,73454.00000000,73408.00000000,73408.01000000,22.95718000
1780288200000,73408.01000000,73478.34000000,73408.00000000,73443.17000000,31.04316000
1780288500000,73443.17000000,73474.01000000,73436.00000000,73450.24000000,22.68634000
1780288800000,73450.24000000,73492.50000000,73450.24000000,73491.99000000,19.77657000
1780289100000,73491.99000000,73492.00000000,73348.74000000,73414.00000000,25.21467000
1780289400000,73414.00000000,73521.69000000,73414.00000000,73521.68000000,17.05714000
1780289700000,73521.68000000,73589.51000000,73505.42000000,73536.01000000,28.53920000
1780290000000,73536.01000000,73536.01000000,73457.57000000,73511.68000000,19.04439000
1780290300000,73511.68000000,73526.00000000,73484.01000000,73494.00000000,12.49201000
1780290600000,73494.01000000,73540.10000000,73473.97000000,73540.00000000,61.46691000
1780290900000,73540.00000000,73541.48000000,73463.38000000,73468.17000000,33.32470000
1780291200000,73468.17000000,73533.11000000,73457.99000000,73457.99000000,23.37401000
1780291500000,73458.00000000,73458.00000000,73350.39000000,73351.70000000,24.72186000
1780291800000,73351.70000000,73423.34000000,73351.69000000,73396.01000000,18.53560000
1780292100000,73396.01000000,73409.01000000,73328.32000000,73391.84000000,19.07860000
1780292400000,73391.84000000,73426.38000000,73391.84000000,73426.37000000,20.17513000
1780292700000,73426.37000000,73465.56000000,73410.11000000,73419.85000000,101.26837000
1780293000000,73419.85000000,73445.66000000,73400.00000000,73400.00000000,59.91555000
1780293300000,73400.01000000,73406.95000000,73340.00000000,73350.00000000,10.80078000
1780293600000,73349.99000000,73368.00000000,73294.21000000,73313.50000000,26.34096000
1780293900000,73313.51000000,73313.51000000,73242.02000000,73248.35000000,38.43104000
1780294200000,73248.34000000,73314.00000000,73242.02000000,73289.99000000,26.85001000
1780294500000,73289.98000000,73326.00000000,73280.00000000,73280.00000000,47.75563000
1780294800000,73280.00000000,73280.00000000,73144.00000000,73238.00000000,71.19590000
1780295100000,73237.99000000,73237.99000000,73177.50000000,73192.82000000,34.87705000
1780295400000,73192.81000000,73234.00000000,73144.00000000,73197.16000000,127.87546000
1780295700000,73197.16000000,73197.16000000,73117.00000000,73142.14000000,58.26030000
1780296000000,73142.14000000,73142.14000000,73004.99000000,73009.81000000,89.89024000
1780296300000,73009.81000000,73184.43000000,72950.01000000,73183.77000000,145.47753000
1780296600000,73183.76000000,73211.91000000,73124.01000000,73124.01000000,39.95147000
1780296900000,73124.00000000,73146.57000000,73069.99000000,73135.74000000,33.38440000
1780297200000,73135.75000000,73135.75000000,73046.59000000,73120.00000000,50.06698000
1780297500000,73119.99000000,73203.85000000,73119.99000000,73195.56000000,33.17076000
1780297800000,73195.56000000,73201.00000000,73094.73000000,73117.33000000,28.43964000
1780298100000,73117.33000000,73136.32000000,73000.01000000,73125.00000000,99.20236000
1780298400000,73125.00000000,73125.01000000,72954.36000000,72980.79000000,60.75686000
1780298700000,72980.79000000,73024.00000000,72979.70000000,72979.71000000,46.24701000
1780299000000,72979.72000000,72979.72000000,72866.00000000,72907.52000000,96.35837000
1780299300000,72907.52000000,72968.00000000,72883.42000000,72956.00000000,75.84291000
1780299600000,72956.00000000,72996.00000000,72936.54000000,72952.40000000,65.07726000
1780299900000,72952.40000000,72963.92000000,72704.00000000,72752.00000000,129.35266000
1780300200000,72752.00000000,72869.53000000,72751.99000000,72833.95000000,99.24024000
1780300500000,72833.95000000,72865.58000000,72791.05000000,72818.00000000,49.88558000
1780300800000,72818.00000000,72862.17000000,72795.38000000,72835.99000000,44.70253000
1780301100000,72835.99000000,72860.00000000,72784.69000000,72809.87000000,31.75207000
1780301400000,72809.86000000,72855.80000000,72808.00000000,72821.33000000,35.43118000
1780301700000,72821.33000000,72830.72000000,72752.00000000,72830.71000000,35.03988000
1780302000000,72830.72000000,72862.43000000,72827.09000000,72836.01000000,37.01266000
1780302300000,72836.00000000,72840.00000000,72642.85000000,72733.03000000,68.59067000
1780302600000,72733.03000000,72848.40000000,72610.03000000,72827.29000000,187.41749000
1780302900000,72827.29000000,72860.00000000,72824.00000000,72860.00000000,30.80299000
1780303200000,72859.99000000,72859.99000000,72668.64000000,72756.73000000,151.45679000
1780303500000,72756.72000000,72835.15000000,72756.72000000,72819.07000000,52.05832000
1780303800000,72819.07000000,72826.00000000,72805.14000000,72816.49000000,32.16318000
1780304100000,72816.49000000,72921.38000000,72816.48000000,72902.65000000,45.06832000
1780304400000,72902.64000000,72985.46000000,72902.64000000,72966.16000000,36.94232000
1780304700000,72966.15000000,73018.14000000,72966.15000000,73015.03000000,26.10218000
1780305000000,73015.03000000,73018.13000000,72973.33000000,72973.34000000,73.33827000
1780305300000,72973.34000000,72993.78000000,72946.00000000,72993.78000000,25.08592000
1780305600000,72993.78000000,73033.16000000,72939.24000000,73002.76000000,161.01710000
1780305900000,73002.75000000,73095.64000000,73000.00000000,73011.70000000,40.06716000
1780306200000,73011.70000000,73048.07000000,72976.29000000,72993.64000000,39.99055000
1780306500000,72993.65000000,73001.92000000,72938.31000000,72980.00000000,31.86436000
1780306800000,72980.01000000,72994.19000000,72919.77000000,72948.38000000,52.47981000
1780307100000,72948.38000000,73006.44000000,72948.38000000,72979.99000000,49.07067000
1780307400000,72980.00000000,73004.01000000,72600.00000000,72867.90000000,1494.44746000
1780307700000,72867.90000000,72880.77000000,72852.38000000,72880.00000000,30.81040000
1780308000000,72880.00000000,72900.73000000,72780.00000000,72783.15000000,55.09531000
1780308300000,72783.15000000,72867.11000000,72772.82000000,72826.60000000,49.28925000
1780308600000,72826.60000000,72839.33000000,72781.18000000,72785.46000000,27.10328000
1780308900000,72785.46000000,72800.28000000,72738.36000000,72740.34000000,34.26166000
1780309200000,72740.34000000,72800.28000000,72668.73000000,72698.00000000,37.29703000
1780309500000,72698.01000000,72720.64000000,72669.80000000,72705.71000000,39.71679000
1780309800000,72705.72000000,72790.25000000,72626.08000000,72635.99000000,43.54428000
1780310100000,72635.99000000,72665.74000000,72592.27000000,72642.32000000,51.23681000
1780310400000,72642.33000000,72704.91000000,72642.33000000,72704.49000000,37.03987000
1780310700000,72704.48000000,72762.57000000,72704.48000000,72749.80000000,33.30441000
1780311000000,72749.80000000,72781.56000000,72733.99000000,72769.63000000,37.86574000
1780311300000,72769.62000000,72796.74000000,72730.84000000,72748.88000000,36.73297000
1780311600000,72748.88000000,72763.16000000,72704.00000000,72704.00000000,24.52655000
1780311900000,72704.01000000,72751.26000000,72673.26000000,72751.26000000,38.80116000
1780312200000,72751.25000000,72756.00000000,72659.33000000,72683.25000000,22.66092000
1780312500000,72683.25000000,72725.31000000,72667.99000000,72725.31000000,25.63007000
1780312800000,72725.31000000,72737.69000000,72660.00000000,72686.32000000,27.20667000
1780313100000,72686.32000000,72686.33000000,72654.24000000,72672.00000000,26.58041000
1780313400000,72672.01000000,72672.01000000,72610.17000000,72644.00000000,44.92910000
1780313700000,72643.99000000,72685.23000000,72641.20000000,72658.00000000,31.78110000
1780314000000,72658.00000000,72741.28000000,72658.00000000,72721.07000000,26.50393000
1780314300000,72721.07000000,72768.11000000,72702.01000000,72719.17000000,20.99157000
1780314600000,72719.18000000,72719.18000000,72670.00000000,72672.31000000,14.25637000
1780314900000,72672.31000000,72678.00000000,72290.00000000,72479.99000000,465.74251000
1780315200000,72480.00000000,72610.00000000,72194.03000000,72319.77000000,347.42881000
1780315500000,72318.55000000,72384.00000000,72051.00000000,72108.01000000,235.95165000
1780315800000,72108.01000000,72189.99000000,71902.98000000,72052.55000000,542.53374000
1780316100000,72052.55000000,72130.77000000,72028.00000000,72098.02000000,125.81239000
1780316400000,72098.02000000,72298.44000000,72094.83000000,72209.62000000,146.45876000
1780316700000,72209.61000000,72250.00000000,72186.08000000,72227.44000000,62.88164000
1780317000000,72227.44000000,72255.18000000,72188.88000000,72220.33000000,79.29224000
1780317300000,72220.33000000,72321.95000000,72212.65000000,72316.00000000,61.65481000
1780317600000,72316.00000000,72316.01000000,72210.33000000,72275.22000000,44.98236000
1780317900000,72275.22000000,72294.00000000,72116.34000000,72162.01000000,82.06817000
1780318200000,72162.01000000,72208.00000000,72122.00000000,72130.00000000,49.06331000
1780318500000,72130.00000000,72230.00000000,72130.00000000,72221.73000000,76.61097000
1780318800000,72221.74000000,72243.52000000,72016.04000000,72030.96000000,136.31231000
1780319100000,72030.95000000,72031.91000000,71990.93000000,72004.00000000,86.75769000
1780319400000,72004.01000000,72004.01000000,71736.20000000,71843.01000000,320.59661000
1780319700000,71843.02000000,72025.99000000,71840.00000000,71937.94000000,159.99654000
1780320000000,71937.94000000,71999.66000000,71776.11000000,71805.99000000,155.01976000
1780320300000,71805.99000000,71862.27000000,71750.00000000,71828.58000000,161.52642000
1780320600000,71828.59000000,72051.20000000,71647.01000000,71961.99000000,435.19870000
1780320900000,71961.99000000,72029.83000000,71871.93000000,71880.00000000,174.19244000
1780321200000,71880.00000000,71880.00000000,71581.03000000,71599.99000000,261.87365000
1780321500000,71599.99000000,71756.00000000,71595.43000000,71636.01000000,147.51790000
1780321800000,71636.02000000,71738.00000000,71580.00000000,71603.42000000,161.31436000
1780322100000,71603.42000000,72094.70000000,71389.88000000,71711.89000000,836.22858000
1780322400000,71711.89000000,71887.60000000,71605.82000000,71879.99000000,234.78047000
1780322700000,71880.00000000,71880.00000000,71629.96000000,71698.00000000,135.08640000
1780323000000,71698.00000000,71703.77000000,71526.70000000,71670.49000000,254.98070000
1780323300000,71670.49000000,71735.17000000,71536.02000000,71585.99000000,262.80094000
1780323600000,71585.99000000,71661.50000000,71562.27000000,71598.90000000,112.13801000
